image_page,level,chinese,english,code,confidence,malignant_primary,malignant_secondary,in_situ,benign,uncertain_or_unspecified
35,0,A,,,,,,,,
35,1,ā 阿,,,0.9999596476554871,,,,,
35,2,阿-德综合征[垂体功能减退症][阿乌马达-德尔卡斯蒂洛],Ahumada-del Castillo syndrome,E23.0,0.9468976855278015,,,,,
35,2,阿-基梗阻或综合征[阿诺德-基亚里][基底压迹综合征],Arnold-Chiari obstruction or syndrome,Q07.0,0.9601275324821472,,,,,
35,2,阿-舍综合征[阿尔贝斯-舍恩贝格][骨硬化症],Albers-Schönberg syndrome,Q78.2,0.9968286156654358,,,,,
35,2,阿-斯综合征或病[斯托克斯-亚当斯],Stokes-Adams disease or syndrome,I45.9,0.99553382396698,,,,,
35,2,阿-韦肺[阿尔克-韦尔德][肺铁末沉着病],Arc-welder's lung,J63.4,0.9997971057891846,,,,,
35,2,阿-维综合征[阿扬-维达尔][微血管病性溶血性贫血],Hayem-Widal syndrome,D59.8,0.9858033657073975,,,,,
35,2,阿-肖(-特)综合征[阿诺-肖法尔(-特鲁瓦西耶)][糖尿病伴有色素性肝硬化],Hanot-Chauffard(-Troisier) syndrome,E83.1,0.9971253871917725,,,,,
35,2,阿·罗[阿盖尔·罗伯逊]现象、瞳孔或综合征(梅毒性),"Argyll Robertson phenomenon, pupil or syndrome (syphilitic)",A52.1+ H58.0*,0.9887299537658691,,,,,
35,3,非典型,atypical,H57.0,0.9908447265625,,,,,
35,3,非梅毒性,nonsyphilitic,H57.0,0.9810851812362671,,,,,
35,2,阿布拉米病[后天性溶血性黄疸],Abrami's disease,D59.8,0.9949951171875,,,,,
35,2,阿布勒米-现译名阿布拉米,Abrami,,0.9996131062507629,,,,,
35,2,阿狄森-现译名艾迪生,Addison's,,0.9992427825927734,,,,,
35,2,阿迪-现译名埃迪,Adie,,0.999411940574646,,,,,
35,2,阿蒂斯现象或反应[局部过敏],Arthus' phenomenon or reaction,T78.4,0.9965687990188599,,,,,
35,3,由于,due to,,0.9615122675895691,,,,,
35,4,过量或给错或服错药物,overdose or wrong substance given or taken,T50.9,0.9806466698646545,,,,,
35,5,特指的药物-见 药物和化学制剂表,specified drug - see Table of drugs and chemicals,,0.9675745964050293,,,,,
